"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"19","Celebrating birthdate of founder Jamsetji Tata. His vision of industrial development &amp; giving back wealth to society has stood test of time.",FALSE,12294,NA,2018-03-03 04:44:37,FALSE,NA,"969795660231954433",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RNTata2000",1862,FALSE,FALSE,NA,NA
"20","Delighted to inaugurate Naval Tata Hockey Academy in Jamshedpur. Will help young take to India’s national sport wit… https://t.co/CZZpPHUr2n",FALSE,8702,NA,2018-03-02 15:02:55,TRUE,NA,"969588869392977920",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RNTata2000",948,FALSE,FALSE,NA,NA
"21","Updated link: Global elimination of malnutrition is an attainable goal-invest in nutrition. Join https://t.co/lPwwP4Joge",FALSE,3762,NA,2017-04-23 11:26:22,FALSE,NA,"856106972709478400",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RNTata2000",577,FALSE,FALSE,NA,NA
"22","Global elimination of malnutrition is an attainable goal - invest in nutrition. Join https://t.co/QKEBHnXTRh",FALSE,2804,NA,2017-04-22 15:13:42,FALSE,NA,"855801793736876032",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RNTata2000",440,FALSE,FALSE,NA,NA
"23","I wish to express my appreciation to all those involved in the NCLT, and particularly the high integrity of the jud… https://t.co/8gqoRtMOUf",FALSE,2732,NA,2017-04-22 12:32:05,TRUE,NA,"855761123349372929",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RNTata2000",321,FALSE,FALSE,NA,NA
"24","Delighted to be back in Jamshedpur. Where it all began... https://t.co/2AWhPHQu4s",FALSE,9133,NA,2017-03-03 07:29:02,FALSE,NA,"837565466021400576",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RNTata2000",1221,FALSE,FALSE,NA,NA
"25","Happy to share my letter to my colleagues on this 178th birth anniversary of our Founder Jamsetji Tata https://t.co/NmieKigJ77",FALSE,6733,NA,2017-03-03 03:30:09,FALSE,NA,"837505347808034819",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RNTata2000",1289,FALSE,FALSE,NA,NA
"26","@MaharashtraSEC https://t.co/n0xGhh2sM8",FALSE,343,"MaharashtraSEC",2017-02-20 07:15:07,FALSE,NA,"833575693871091712","811203239215411200","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RNTata2000",38,FALSE,FALSE,NA,NA
"27","Local body elections are scheduled on February 16th and 21st in Maharashtra. Let’s pledge to vote for a strong future. #VoteKarMaharashtra",FALSE,5170,NA,2017-02-10 12:23:07,FALSE,NA,"830029327433609217",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RNTata2000",929,FALSE,FALSE,NA,NA
"28","@RNTata2000",FALSE,627,"RNTata2000",2017-01-22 15:15:08,FALSE,"819878308020187136","823187247583338496","277434037","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RNTata2000",81,FALSE,FALSE,NA,NA
"29","Congratulations to Chandra! See link. https://t.co/mJe5TpavYE",FALSE,4631,NA,2017-01-13 12:06:35,FALSE,NA,"819878308020187136",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RNTata2000",824,FALSE,FALSE,NA,NA
"30","The government’s bold implementation of the demonetization programme needs the nation’s support. https://t.co/tx1ZILSor8",FALSE,10476,NA,2016-11-26 07:09:54,FALSE,NA,"802409025103020032",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RNTata2000",4954,FALSE,FALSE,NA,NA
"31","Some further thoughts on implementation of demonetization program. https://t.co/RZdicKvFS7",FALSE,5354,NA,2016-11-24 12:21:41,FALSE,NA,"801762711440740352",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RNTata2000",2382,FALSE,FALSE,NA,NA
"32","Demonetisation of old currency notes by the Modi govt is a bold act that will wipe out black money and corruption. It deserves our support",FALSE,26845,NA,2016-11-22 15:13:02,FALSE,NA,"801081057261010944",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RNTata2000",12088,FALSE,FALSE,NA,NA
"33","Hearty congratulations to India's armed forces and Intel agencies for successful surgical retaliatory action against Pak terrorist camps.",FALSE,26128,NA,2016-09-29 16:55:27,FALSE,NA,"781537889024745472",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RNTata2000",10236,FALSE,FALSE,NA,NA
"34","So proud of Indian govt's firm stand on bycot of SARC mtg &amp; overwhelming support by member nations.",FALSE,19403,NA,2016-09-28 15:28:10,FALSE,NA,"781153536503447552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RNTata2000",9997,FALSE,FALSE,NA,NA
"35","Shocked my a/c was hacked yesterday &amp; spurious tweet sent with malicious intent.Tweet deleted, a/c restored. C link. https://t.co/L0HKIy4nHC",FALSE,4076,NA,2016-09-10 12:19:21,FALSE,NA,"774583035077484545",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RNTata2000",989,FALSE,FALSE,NA,NA
"36","Grateful for wide support for AVANTI FINANCE. Committed to make affordable and safe finance available to the underserved population.",FALSE,3901,NA,2016-09-01 11:44:19,FALSE,NA,"771312729025941504",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RNTata2000",797,FALSE,FALSE,NA,NA
"37","5/20 Rule and Vested Interests https://t.co/fQRtfEZlbK",FALSE,2624,NA,2016-02-21 05:13:27,FALSE,NA,"701273504625209345",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RNTata2000",1092,FALSE,FALSE,NA,NA
"38","Deeply touched by the kind sentiments &amp; best wishes from well wishers. Thanks so much .",FALSE,3869,NA,2015-12-28 11:43:41,FALSE,NA,"681440380705886208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RNTata2000",538,FALSE,FALSE,NA,NA
"39","Felt proud to be with enthusiastic, young entrepreneurs at T-Hub, the new incubator at Hyderabad. I wish them all the best. @KTRTRS",FALSE,2607,NA,2015-11-05 16:24:15,FALSE,NA,"662304430138634240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RNTata2000",690,FALSE,FALSE,NA,NA
"40","Good article, well worth reading. 
http://t.co/LOibLgFlSa",FALSE,1613,NA,2015-09-24 21:51:19,FALSE,NA,"647166447333056512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RNTata2000",526,FALSE,FALSE,NA,NA
"41","@RNTata2000 RNTata2000",FALSE,682,"RNTata2000",2015-07-27 20:31:19,FALSE,"625711369577304064","625765430917869569","277434037","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RNTata2000",132,FALSE,FALSE,NA,NA
"42","http://t.co/I7t9puOGvv",FALSE,2088,NA,2015-07-27 16:56:30,FALSE,NA,"625711369577304064",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RNTata2000",940,FALSE,FALSE,NA,NA
"43","I congratulate David Cameron on his great victory. I am overjoyed that he will continue to lead the UK to greater heights in the years ahead",FALSE,2076,NA,2015-05-09 08:37:14,FALSE,NA,"596957083876003841",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RNTata2000",521,FALSE,FALSE,NA,NA
"44","Wonderful to see US &amp; India come together in a bond of mutual friendship and trust. Both charismatic leaders deserve great credit and praise",FALSE,3337,NA,2015-01-26 07:21:50,FALSE,NA,"559612158317576193",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RNTata2000",1645,FALSE,FALSE,NA,NA
"45","@RNTata2000  Best wishes for the New Year. Hope it's a great                       year with all your hopes and wishes realised.",FALSE,1255,"RNTata2000",2014-12-31 16:45:02,FALSE,"549241845067157504","550331809112682498","277434037","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RNTata2000",348,FALSE,FALSE,NA,NA
"46","I want to thank those who sent me birthday greetings for their kind words and thoughtfulness.",FALSE,1793,NA,2014-12-30 05:11:37,FALSE,NA,"549794916541272065",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RNTata2000",310,FALSE,FALSE,NA,NA
